Scenario,MeanTemp,MeanPrecip,Year,District
Ensemble_rcp60,9.91646119824105,980.795353448057,1990,"Medford District"
Ensemble_rcp60,11.0758724994281,955.741923184464,2030,"Medford District"
Ensemble_rcp60,12.0460766121857,936.304516916194,2060,"Medford District"
Ensemble_rcp60,13.0630131415063,984.329656083984,2090,"Medford District"
Ensemble_rcp85,9.91646119824105,980.795353448057,1990,"Medford District"
Ensemble_rcp85,11.4867568185863,959.91400828652,2030,"Medford District"
Ensemble_rcp85,12.9982105182888,937.115960448387,2060,"Medford District"
Ensemble_rcp85,14.6401794565466,971.902112300145,2090,"Medford District"
GFDLCM3_rcp45,9.91646119824105,980.795353448057,1990,"Medford District"
GFDLCM3_rcp45,11.5438550113113,987.810375943672,2030,"Medford District"
GFDLCM3_rcp45,12.8193106428406,987.039322843852,2060,"Medford District"
GFDLCM3_rcp45,13.2520576497801,998.533845097989,2090,"Medford District"
GFDLCM3_rcp60,9.91646119824105,980.795353448057,1990,"Medford District"
GFDLCM3_rcp60,11.5604941409725,1037.82895706769,2030,"Medford District"
GFDLCM3_rcp60,12.4019521618669,961.128644416766,2060,"Medford District"
GFDLCM3_rcp60,13.8229531531989,987.992603136677,2090,"Medford District"
GFDLCM3_rcp85,9.91646119824105,980.795353448057,1990,"Medford District"
GFDLCM3_rcp85,11.8404666886962,956.551129864518,2030,"Medford District"
GFDLCM3_rcp85,13.7070028723214,1011.06830024656,2060,"Medford District"
GFDLCM3_rcp85,15.0842708624592,948.150555400219,2090,"Medford District"
HadGEM2ES_rcp45,9.91646119824105,980.795353448057,1990,"Medford District"
HadGEM2ES_rcp45,11.3640985231693,926.389161434636,2030,"Medford District"
HadGEM2ES_rcp45,13.0499148471061,971.528990112097,2060,"Medford District"
HadGEM2ES_rcp45,13.5439261838794,908.881853537022,2090,"Medford District"
HadGEM2ES_rcp60,9.91646119824105,980.795353448057,1990,"Medford District"
HadGEM2ES_rcp60,11.652517729595,987.51584860578,2030,"Medford District"
HadGEM2ES_rcp60,12.339833761216,939.692305737017,2060,"Medford District"
HadGEM2ES_rcp60,13.8538496733687,1029.54602069088,2090,"Medford District"
HadGEM2ES_rcp85,9.91646119824105,980.795353448057,1990,"Medford District"
HadGEM2ES_rcp85,12.0231768384129,1089.30782135685,2030,"Medford District"
HadGEM2ES_rcp85,14.3003634884724,889.413410945324,2060,"Medford District"
HadGEM2ES_rcp85,15.9991789735899,968.88744566737,2090,"Medford District"
CCSM4_rcp45,10.5634815272202,1314.59015128126,1990,"Roseburg District"
CCSM4_rcp45,12.6851034269836,1241.27853246887,2030,"Roseburg District"
CCSM4_rcp45,12.7154368632294,1283.88782546053,2060,"Roseburg District"
CCSM4_rcp45,13.2674179273439,1272.31079551302,2090,"Roseburg District"
CCSM4_rcp60,10.5634815272202,1314.59015128126,1990,"Roseburg District"
CCSM4_rcp60,11.8522383451682,1266.15668416178,2030,"Roseburg District"
CCSM4_rcp60,12.790511474735,1260.07605227951,2060,"Roseburg District"
CCSM4_rcp60,13.1199804466399,1320.39945456417,2090,"Roseburg District"
CCSM4_rcp85,10.5634815272202,1314.59015128126,1990,"Roseburg District"
CCSM4_rcp85,12.2794226613152,1483.5066893074,2030,"Roseburg District"
CCSM4_rcp85,13.1410620561902,1180.83719254914,2060,"Roseburg District"
CCSM4_rcp85,15.0012298034372,1228.33158382217,2090,"Roseburg District"
Ensemble_rcp45,10.5634815272202,1314.59015128126,1990,"Roseburg District"
Ensemble_rcp45,11.9219872388598,1273.3369867243,2030,"Roseburg District"
Ensemble_rcp45,12.8670628794895,1289.6309560564,2060,"Roseburg District"
Ensemble_rcp45,13.1739219923845,1291.26191211279,2090,"Roseburg District"
