year,side,climate,carbon,timber,standing,fire,owl,cost
2038,South/Dry,Ensemble-rcp85,6506722.21265959,38634.02001805,2550636.67304698,6719.410887,18656.068385,1434026.96162123
2038,North/Moist,GFDLCM3-rcp45,7709049.38072688,76172.042047687,3056746.13906694,3999.538051,10024.797902,2375176.8581791
2038,South/Dry,GFDLCM3-rcp45,6560320.6717031,42371.456603776,2633405.51607736,5912.293719,19491.727756,1415880.28036383
2038,North/Moist,GFDLCM3-rcp85,7668541.84281251,73688.330289797,3019406.18177581,4626.42200200001,9539.755068,2481355.17491047
2038,South/Dry,GFDLCM3-rcp85,6469534.8693951,44860.937433695,2564448.42951457,6940.93031,18116.352298,1544876.09718322
2038,North/Moist,HadGEM2ES-rcp45,7692392.9751333,84280.426048391,3037067.56882464,4195.233019,9783.434481,2732959.60692773
2038,South/Dry,HadGEM2ES-rcp45,6353012.0612048,34249.463700639,2362477.73292805,7959.095686,17189.008937,1227943.44261973
2038,North/Moist,HadGEM2ES-rcp85,7531258.4270552,79022.387826,2903757.12761177,5669.581823,7852.724065,2709387.68248155
2038,South/Dry,HadGEM2ES-rcp85,6382633.1325215,39516.518155753,2380156.24398183,7559.74272299999,16610.874346,1456844.56528582
2038,North/Moist,NoClimate,7964099.74767899,79505.183518155,3206897.25098987,5011.402979,12250.598268,2479088.92229133
2038,South/Dry,NoClimate,6757733.83219199,39074.058349941,2771027.82787399,6961.303504,23373.102258,1285594.88563672
2043,North/Moist,CCSM4-rcp45,7865758.32940719,80698.84869241,3070701.93417361,2763.333636,9275.330602,2589673.86750502
2043,South/Dry,CCSM4-rcp45,6407349.4889894,37922.828479102,2268100.92048803,7459.252412,14922.504016,1362005.01276152
2043,North/Moist,CCSM4-rcp85,7858579.47107149,81460.326041596,3086978.97216314,3493.972919,9044.367576,2406438.90494794
2043,South/Dry,CCSM4-rcp85,6941138.100205,37127.618119618,2800363.9421594,5924.748373,22047.922431,1321386.18729895
2043,North/Moist,Ensemble-rcp45,7985308.5504896,82502.287772832,3172423.59549819,2841.477752,10045.941477,2521985.27745606
2043,South/Dry,Ensemble-rcp45,6882391.8495995,36065.082926861,2735424.02944005,6430.795897,21596.855946,1110556.76225239
2043,North/Moist,Ensemble-rcp85,7954862.24085811,78610.824704781,3143236.06398103,3213.903087,10133.779952,2304722.1586591
2043,South/Dry,Ensemble-rcp85,6801972.8772649,39926.879033638,2664189.91842083,6717.297351,20439.809544,1323344.34440104
2043,North/Moist,GFDLCM3-rcp45,7932845.1872888,82809.217843901,3142138.82490576,2750.94667,9872.70411300001,2326469.42693681
2043,South/Dry,GFDLCM3-rcp45,6880593.92903419,35778.662812075,2780362.0313364,5448.613742,21800.916565,1270550.99283249
2043,North/Moist,GFDLCM3-rcp85,7880129.33782209,78423.5805246001,3094150.8701797,3325.449326,9211.027256,2273297.35504813
2043,South/Dry,GFDLCM3-rcp85,6751825.20721101,40123.97212278,2671596.79322461,6242.469035,19645.888013,1310294.23065792
