start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
201686712.25993,21346637.126995,12430315.80471,0.0,2028,Ensemble-rcp45,20655.179195,"Roseburg District"
212239074.85691,27697065.629255,15180676.312965,0.0,2028,Ensemble-rcp45,19606.379064,"Salem District"
209238131.226418,21385115.808165,16044122.288735,0.0,2028,Ensemble-rcp85,16847.886544,"Coos Bay District"
153049438.031764,21475757.033935,11769339.33616,0.0,2028,Ensemble-rcp85,15152.209702,"Eugene District"
9128694.939484,2163643.17307,561551.198065,0.0,2028,Ensemble-rcp85,7516.759292,"Lakeview District"
278538608.277127,28126976.45468,13952064.37507,0.0,2028,Ensemble-rcp85,42540.8427829999,"Medford District"
200955339.863875,21190692.615305,12729001.245875,0.0,2028,Ensemble-rcp85,20655.179195,"Roseburg District"
211432981.108299,27303127.37596,15717003.737245,0.0,2028,Ensemble-rcp85,19606.379064,"Salem District"
214822527.710874,21311636.052485,13482226.208,0.0,2033,Ensemble-rcp45,16847.886544,"Coos Bay District"
163329869.077484,21239763.05784,12014123.65975,0.0,2033,Ensemble-rcp45,15152.209702,"Eugene District"
10222432.387967,2754492.1609,298898.08225,0.0,2033,Ensemble-rcp45,7516.759292,"Lakeview District"
292663779.898258,30561983.916055,11850350.915385,0.0,2033,Ensemble-rcp45,42540.8427829999,"Medford District"
210595829.468709,21689722.565975,11106296.02965,0.0,2033,Ensemble-rcp45,20655.179195,"Roseburg District"
224757190.682418,27514866.20244,16093026.4252,0.0,2033,Ensemble-rcp45,19606.379064,"Salem District"
214580620.042808,21077230.531975,13554288.323715,0.0,2033,Ensemble-rcp85,16847.886544,"Coos Bay District"
162754675.192168,21029551.732175,11787338.31117,0.0,2033,Ensemble-rcp85,15152.209702,"Eugene District"
10729922.853075,2719837.42281,325538.533745,0.0,2033,Ensemble-rcp85,7516.759292,"Lakeview District"
292692801.188528,29887027.607135,13236970.492135,0.0,2033,Ensemble-rcp85,42540.8427829999,"Medford District"
209411074.099856,21329340.82155,11665789.865565,0.0,2033,Ensemble-rcp85,20655.179195,"Roseburg District"
223019184.832202,26955338.796965,16448677.271405,0.0,2033,Ensemble-rcp85,19606.379064,"Salem District"
222650868.800671,21028040.150705,13360456.18078,0.0,2038,Ensemble-rcp45,16847.886544,"Coos Bay District"
172556838.40861,20730999.30885,12292634.76279,0.0,2038,Ensemble-rcp45,15152.209702,"Eugene District"
12678922.888533,3256570.31902,402912.95214,0.0,2038,Ensemble-rcp45,7516.759292,"Lakeview District"
311348506.053154,32551058.74072,12816760.801225,0.0,2038,Ensemble-rcp45,42540.8427829999,"Medford District"
221166794.704293,21772928.67644,11536031.744555,0.0,2038,Ensemble-rcp45,20655.179195,"Roseburg District"
236178640.554227,26965352.10988,17021309.900615,0.0,2038,Ensemble-rcp45,19606.379064,"Salem District"
222104073.936289,20594022.45987,13416709.369925,0.0,2038,Ensemble-rcp85,16847.886544,"Coos Bay District"
171996080.104147,20399329.71779,12047407.594035,0.0,2038,Ensemble-rcp85,15152.209702,"Eugene District"
13124578.328896,3185993.25134,451738.834395,0.0,2038,Ensemble-rcp85,7516.759292,"Lakeview District"
309312059.215339,31247303.41313,15651932.431335,0.0,2038,Ensemble-rcp85,42540.8427829999,"Medford District"
219068029.403018,21103502.66765,12687515.974795,0.0,2038,Ensemble-rcp85,20655.179195,"Roseburg District"
233527957.064447,26205442.478905,17468213.30652,0.0,2038,Ensemble-rcp85,19606.379064,"Salem District"
230316699.860932,20628472.36831,13290006.54541,0.0,2043,Ensemble-rcp45,16847.886544,"Coos Bay District"
180993674.852109,20164207.296465,12419303.58721,0.0,2043,Ensemble-rcp45,15152.209702,"Eugene District"
15531454.829616,3656805.12388,531312.71319,0.0,2043,Ensemble-rcp45,7516.759292,"Lakeview District"
331057338.202038,33840657.301985,14790872.251605,0.0,2043,Ensemble-rcp45,42540.8427829999,"Medford District"
231394549.620249,21725724.63634,12214088.343665,0.0,2043,Ensemble-rcp45,20655.179195,"Roseburg District"
246121472.633066,26085789.423765,17967370.57601,0.0,2043,Ensemble-rcp45,19606.379064,"Salem District"
229278279.880221,19964285.644115,13618668.93222,0.0,2043,Ensemble-rcp85,16847.886544,"Coos Bay District"
