year,district,climate,carbon,timber,standing,fire,owl,cost
2038,"Roseburg District",Ensemble-rcp85,2625838.369254,19010.160176457,1101829.63102117,922.577873,5923.515512,711260.276604388
2038,"Salem District",Ensemble-rcp85,2795681.87429,32035.903407899,1087668.87430132,2672.736864,3904.841857,997994.783319965
2038,"Coos Bay District",GFDLCM3-rcp45,2761933.023309,16851.474163069,1150311.71969245,599.973983,2966.066479,599751.977072136
2038,"Eugene District",GFDLCM3-rcp45,2129546.753158,26274.890731382,801523.78186345,880.190901,2811.073894,814845.374943048
2038,"Lakeview District",GFDLCM3-rcp45,181815.226904,2043.322648041,46285.033023333,415.78947,72.163596,24444.481224455
2038,"Medford District",GFDLCM3-rcp45,3746669.7859199,19904.526707911,1481356.39067377,4454.681809,13657.936404,718682.735627739
2038,"Roseburg District",GFDLCM3-rcp45,2631835.6588792,20423.607247824,1105764.09238026,1041.82244,5761.627756,672753.063511636
2038,"Salem District",GFDLCM3-rcp45,2817569.6042599,33045.677153236,1104910.63751105,2519.373167,4247.657529,960579.506163916
2038,"Coos Bay District",GFDLCM3-rcp85,2725325.5013725,21845.547604127,1130076.19755404,719.554398,2863.722645,828490.209560651
2038,"Eugene District",GFDLCM3-rcp85,2145529.2764481,23612.677127436,809223.808357744,1182.30611,2811.832691,772476.60838226
2038,"Lakeview District",GFDLCM3-rcp85,176507.9116422,1980.769111603,42732.911903082,603.699295,19.324047,18615.781218501
2038,"Medford District",GFDLCM3-rcp85,3666595.187863,23993.917876529,1418123.51394568,5147.612273,12479.907517,832870.604475196
2038,"Roseburg District",GFDLCM3-rcp85,2626431.7698899,18886.250445563,1103592.0036658,1189.618742,5617.120734,693389.711489524
2038,"Salem District",GFDLCM3-rcp85,2797687.0649919,28230.105558234,1080106.17586402,2724.561494,3864.199732,880388.356967559
2038,"Coos Bay District",HadGEM2ES-rcp45,2743289.4069888,25548.638160631,1135671.81426415,641.242653,3006.876194,968494.414084252
2038,"Eugene District",HadGEM2ES-rcp45,2140379.315134,25175.547958298,804009.878326713,1008.481451,2817.724749,767035.465100586
2038,"Lakeview District",HadGEM2ES-rcp45,169762.3001369,177.342928127,30511.815944539,1321.056904,29.234305,1726.168098712
2038,"Medford District",HadGEM2ES-rcp45,3550052.6330944,16679.66706124,1231182.89853462,5245.702692,11277.71001,583418.552237726
2038,"Roseburg District",HadGEM2ES-rcp45,2633197.1279735,17392.453711272,1100783.01844888,1392.33609,5882.064622,642798.722283289
2038,"Salem District",HadGEM2ES-rcp45,2808724.2530105,33556.239929462,1097385.87623377,2545.508915,3958.833538,997429.727742887
2038,"Coos Bay District",HadGEM2ES-rcp85,2716702.5487511,24287.127194068,1120686.98244094,765.20325,2826.009425,878840.051679529
2038,"Eugene District",HadGEM2ES-rcp85,2134846.8671241,29092.900253162,793263.476989338,1603.158676,2395.753885,956056.246668019
2038,"Lakeview District",HadGEM2ES-rcp85,161665.1937185,663.130114661,24578.35657754,1555.116847,39.998745,7909.917750766
2038,"Medford District",HadGEM2ES-rcp85,3577728.14402031,18115.650945695,1257747.12559908,4695.825408,11183.742313,682599.976543129
2038,"Roseburg District",HadGEM2ES-rcp85,2643239.7947827,20737.737095397,1097830.76180521,1308.800468,5387.133288,766334.670991925
2038,"Salem District",HadGEM2ES-rcp85,2679709.01118,25642.36037877,989806.668181484,3301.219897,2630.960755,874491.384134008
2038,"Coos Bay District",NoClimate,2848968.8155891,18541.679245159,1213089.19824595,563.6662,4456.090857,618678.655919489
2038,"Eugene District",NoClimate,2214144.4254556,27538.073672013,844627.652390243,1372.345839,3322.254608,796980.302024891
2038,"Lakeview District",NoClimate,192243.5450383,406.850017862,38779.069560291,669.867597,46.365461,6191.699514352
2038,"Medford District",NoClimate,3843354.2431798,19187.502884332,1546593.00028495,4754.998847,15821.519408,718543.106749435
2038,"Roseburg District",NoClimate,2722136.0439739,19479.705447747,1185655.75802875,1536.43706,7505.217389,560860.079372932
