year,district,climate,carbon
2033,"Lakeview District",HadGEM2ES-rcp85,159686.331209
2033,"Lakeview District",NoClimate,173819.8712991
2033,"Medford District",CCSM4-rcp45,3563059.61710949
2033,"Medford District",CCSM4-rcp85,3845114.4043196
2033,"Medford District",Ensemble-rcp45,3770558.5485933
2033,"Medford District",Ensemble-rcp85,3768695.4802677
2033,"Medford District",GFDLCM3-rcp45,3807942.06804699
2033,"Medford District",GFDLCM3-rcp85,3781592.9260994
2033,"Medford District",HadGEM2ES-rcp45,3652147.2664943
2033,"Medford District",HadGEM2ES-rcp85,3705562.7343086
2033,"Medford District",NoClimate,3838321.4286842
2033,"Roseburg District",CCSM4-rcp45,2672323.8560194
2033,"Roseburg District",CCSM4-rcp85,2688806.173074
2033,"Roseburg District",Ensemble-rcp45,2709408.40363501
2033,"Roseburg District",Ensemble-rcp85,2705191.2981741
2033,"Roseburg District",GFDLCM3-rcp45,2699086.8579262
2033,"Roseburg District",GFDLCM3-rcp85,2691497.8584908
2033,"Roseburg District",HadGEM2ES-rcp45,2697717.30664691
2033,"Roseburg District",HadGEM2ES-rcp85,2675964.8276083
2033,"Roseburg District",NoClimate,2755112.2060571
2033,"Salem District",CCSM4-rcp45,2962313.1789486
2033,"Salem District",CCSM4-rcp85,2978301.7704368
2033,"Salem District",Ensemble-rcp45,3008424.8672924
2033,"Salem District",Ensemble-rcp85,3000504.7399531
2033,"Salem District",GFDLCM3-rcp45,3004902.9479508
2033,"Salem District",GFDLCM3-rcp85,2987679.5986866
2033,"Salem District",HadGEM2ES-rcp45,2992378.7565032
2033,"Salem District",HadGEM2ES-rcp85,2952263.02227689
2033,"Salem District",NoClimate,3040638.3330744
2038,"Coos Bay District",CCSM4-rcp45,2973624.5599555
2038,"Coos Bay District",CCSM4-rcp85,2961706.7151739
2038,"Coos Bay District",Ensemble-rcp45,3001203.7429826
2038,"Coos Bay District",Ensemble-rcp85,2995682.4057918
2038,"Coos Bay District",GFDLCM3-rcp45,2965512.8418215
2038,"Coos Bay District",GFDLCM3-rcp85,2954000.9224259
2038,"Coos Bay District",HadGEM2ES-rcp45,2982701.5842924
2038,"Coos Bay District",HadGEM2ES-rcp85,2952691.0888333
2038,"Coos Bay District",NoClimate,3083439.5468765
2038,"Eugene District",CCSM4-rcp45,2381605.1321698
2038,"Eugene District",CCSM4-rcp85,2375980.2125878
2038,"Eugene District",Ensemble-rcp45,2402988.7875127
2038,"Eugene District",Ensemble-rcp85,2397961.1211745
2038,"Eugene District",GFDLCM3-rcp45,2384313.2741864
2038,"Eugene District",GFDLCM3-rcp85,2366282.1473958
2038,"Eugene District",HadGEM2ES-rcp45,2390635.7426903
2038,"Eugene District",HadGEM2ES-rcp85,2356471.9367214
2038,"Eugene District",NoClimate,2451985.5627138
2038,"Lakeview District",CCSM4-rcp45,186782.8579031
2038,"Lakeview District",CCSM4-rcp85,212201.9044803
2038,"Lakeview District",Ensemble-rcp45,190903.3755485
2038,"Lakeview District",Ensemble-rcp85,192847.600755
2038,"Lakeview District",GFDLCM3-rcp45,202737.1210941
2038,"Lakeview District",GFDLCM3-rcp85,202378.4957984
2038,"Lakeview District",HadGEM2ES-rcp45,178941.9533008
2038,"Lakeview District",HadGEM2ES-rcp85,182623.0785873
2038,"Lakeview District",NoClimate,203477.5143275
2038,"Medford District",CCSM4-rcp45,3689628.4014893
2038,"Medford District",CCSM4-rcp85,4092928.4504879
2038,"Medford District",Ensemble-rcp45,3993604.63611181
2038,"Medford District",Ensemble-rcp85,3984908.58179471
2038,"Medford District",GFDLCM3-rcp45,4041308.60581099
2038,"Medford District",GFDLCM3-rcp85,3999138.4601419
2038,"Medford District",HadGEM2ES-rcp45,3813855.0292739
2038,"Medford District",HadGEM2ES-rcp85,3887319.90716291
2038,"Medford District",NoClimate,4101134.7088096
2038,"Roseburg District",CCSM4-rcp45,2802807.1113682
2038,"Roseburg District",CCSM4-rcp85,2826168.3731954
2038,"Roseburg District",Ensemble-rcp45,2855161.9912334
2038,"Roseburg District",Ensemble-rcp85,2847081.3589391
2038,"Roseburg District",GFDLCM3-rcp45,2838867.833875
2038,"Roseburg District",GFDLCM3-rcp85,2825835.4336359
2038,"Roseburg District",HadGEM2ES-rcp45,2837291.459119
2038,"Roseburg District",HadGEM2ES-rcp85,2809533.8049406
2038,"Roseburg District",NoClimate,2922594.0932276
2038,"Salem District",CCSM4-rcp45,3115817.9750907
