year,climate,fortype,acres
2018,HadGEM2ES-rcp85,183,3059.536022
2018,HadGEM2ES-rcp85,201,80895.720535
2018,HadGEM2ES-rcp85,202,19.127166
2018,HadGEM2ES-rcp85,221,4863.049172
2018,HadGEM2ES-rcp85,222,469.943325
2018,HadGEM2ES-rcp85,224,601.672722
2018,HadGEM2ES-rcp85,241,73.046263
2018,HadGEM2ES-rcp85,261,515.76843
2018,HadGEM2ES-rcp85,262,477.146345
2018,HadGEM2ES-rcp85,264,379.187067
2018,HadGEM2ES-rcp85,267,739.227606
2018,HadGEM2ES-rcp85,268,72.005217
2018,HadGEM2ES-rcp85,281,49.074073
2018,HadGEM2ES-rcp85,301,1885.938047
2018,HadGEM2ES-rcp85,304,336.809863
2018,HadGEM2ES-rcp85,305,18.563915
2018,HadGEM2ES-rcp85,361,39.998745
2018,HadGEM2ES-rcp85,704,19.475418
2018,HadGEM2ES-rcp85,709,142.396068
2018,HadGEM2ES-rcp85,911,4860.588514
2018,HadGEM2ES-rcp85,912,1097.406745
2018,HadGEM2ES-rcp85,922,1040.440789
2018,HadGEM2ES-rcp85,923,5574.843589
2018,HadGEM2ES-rcp85,932,2117.92141
2018,HadGEM2ES-rcp85,941,2891.702494
2018,HadGEM2ES-rcp85,943,757.407476
2018,HadGEM2ES-rcp85,951,5320.293025
2018,HadGEM2ES-rcp85,997,467.630856
2018,HadGEM2ES-rcp85,998,365.982238
2018,HadGEM2ES-rcp85,999,3167.353445
2018,NoClimate,183,3947.972324
2018,NoClimate,201,81516.947757
2018,NoClimate,202,19.127166
2018,NoClimate,221,4321.707917
2018,NoClimate,222,611.671405
2018,NoClimate,224,621.730554
2018,NoClimate,241,73.046263
2018,NoClimate,261,434.845533
2018,NoClimate,262,344.466208
2018,NoClimate,264,456.4709
2018,NoClimate,267,1039.981861
2018,NoClimate,268,98.475754
2018,NoClimate,281,155.619702
2018,NoClimate,301,2311.764882
2018,NoClimate,304,384.170906
2018,NoClimate,305,18.563915
2018,NoClimate,361,39.998745
2018,NoClimate,704,19.475418
2018,NoClimate,709,67.346082
2018,NoClimate,911,4794.686138
2018,NoClimate,912,879.417589
2018,NoClimate,922,995.669475
2018,NoClimate,923,5445.357993
2018,NoClimate,932,2102.306147
2018,NoClimate,941,2752.701566
2018,NoClimate,943,789.774662
2018,NoClimate,951,5323.226683
2018,NoClimate,997,473.586208
2018,NoClimate,998,356.680882
2018,NoClimate,999,1922.465945
2023,CCSM4-rcp45,183,3463.724378
2023,CCSM4-rcp45,201,82524.608498
2023,CCSM4-rcp45,202,45.057329
2023,CCSM4-rcp45,221,5223.532788
2023,CCSM4-rcp45,222,567.208114
2023,CCSM4-rcp45,224,458.443301
2023,CCSM4-rcp45,241,73.046263
2023,CCSM4-rcp45,261,264.44939
2023,CCSM4-rcp45,262,177.754947
