year,climate,carbon,timber,standing,fire,owl,cost
2063,CCSM4-rcp85,16512950.6956649,118550.889910043,6447770.53770942,3870.467607,33141.634772,3715235.96961142
2063,Ensemble-rcp45,16757573.2836342,118539.214209388,6711564.04539346,5257.821516,37845.126032,3651611.08315092
2063,Ensemble-rcp85,16193249.7027184,118555.146425741,6020556.68912161,6201.483647,29851.768109,3500225.47215417
2063,GFDLCM3-rcp45,16477228.8813948,118556.605553026,6451862.08153182,4061.472826,34805.937725,3676406.15312271
2063,GFDLCM3-rcp85,15795388.6958769,118544.487003573,5464003.25880838,8495.957032,24140.3405,3632905.36911885
2063,HadGEM2ES-rcp45,16017185.3544451,118577.333793547,6176965.46314804,8080.864327,31181.465506,3640155.7892491
2063,HadGEM2ES-rcp85,14761858.4892111,118565.500769045,3864941.09172679,19433.826253,11377.279852,3476202.04603117
2063,NoClimate,17965130.3238879,118536.946318959,7523832.30829055,5509.351603,52376.001151,3810234.29451273
2068,CCSM4-rcp45,16153737.6964618,118530.670301413,6398252.39237489,6558.244983,32973.08761,3446105.8946525
2068,CCSM4-rcp85,16747615.2352184,118530.718411497,6403710.43125794,3935.401954,32311.39501,4052979.42951092
2068,Ensemble-rcp45,17131424.0893312,118537.10173378,6883563.48368295,4959.173025,38872.440516,3625942.91664522
2068,Ensemble-rcp85,16347510.7119562,118566.185435823,5924936.46016535,6811.611447,28778.473155,3916414.22368953
2068,GFDLCM3-rcp45,16745466.4425682,118543.514654483,6536330.85354696,3605.320522,34862.738317,3808541.31927517
2068,GFDLCM3-rcp85,15836033.0946336,118549.866224541,5230060.14768548,9426.60659200001,22663.022512,3775500.382716
2068,HadGEM2ES-rcp45,16257864.1942276,118532.66013354,6257469.40851623,7402.707559,31763.122298,3959898.94378032
2068,HadGEM2ES-rcp85,14457533.9148302,118529.73982183,3439111.22360101,22259.562213,9757.053147,3709426.80591278
2068,NoClimate,18521149.8700031,118537.037592967,7808350.11148576,4517.942826,54302.94731,3797248.23128063
2073,CCSM4-rcp45,16485782.9019083,118560.295330536,6622724.04603779,5924.813884,34379.889372,3709299.43627712
2073,CCSM4-rcp85,16870048.2057132,118543.080620593,6187783.58917396,4138.313462,28623.333599,3791796.12613318
2073,Ensemble-rcp45,17476512.9548677,118531.012817526,7051293.54345638,4544.407688,39702.452496,3797293.54274804
2073,Ensemble-rcp85,16413224.0332263,118531.903728137,5734194.4854426,7467.337358,26692.148501,3668687.17487559
2073,GFDLCM3-rcp45,16982804.0090153,118534.779446721,6624946.52521708,3831.211883,35004.949185,3714962.26205699
2073,GFDLCM3-rcp85,15789120.2264816,118568.856430539,4959637.72442841,10328.424011,20750.570307,3407756.36346803
2073,HadGEM2ES-rcp45,16462314.0262417,118553.470931937,6316373.05754849,6887.720713,32197.642095,3935795.88224308
2073,HadGEM2ES-rcp85,14091998.7098864,118535.173376485,3055762.68844664,26413.2972109999,7703.379021,3484200.53360563
2073,NoClimate,19047195.9049836,118533.499041641,8082272.13134205,4060.790408,56402.51155,3839922.75902499
2078,CCSM4-rcp45,16808643.1510548,118590.536190983,6832870.77212664,4753.180036,35616.931955,3750034.26131221
2078,CCSM4-rcp85,16850898.0863503,118572.643391863,5751885.05084454,4879.900054,24440.975359,3776480.15111402
2078,Ensemble-rcp45,17791790.8712994,118545.767365531,7203883.87110642,3548.781891,40597.540068,3859202.96133542
2078,Ensemble-rcp85,16372549.7771451,118556.673212519,5393627.63057525,8972.61858100001,23297.450118,3615347.5841787
2078,GFDLCM3-rcp45,17192055.1408903,118531.992876712,6703547.97313771,4027.35773,35628.519262,3548863.49061496
2078,GFDLCM3-rcp85,15653055.5041656,118544.673501967,4606587.36459254,11825.194255,17693.020921,3534228.40227891
2078,HadGEM2ES-rcp45,16628583.3544329,118547.787208609,6335801.39512812,6892.155121,32054.43113,3506007.66667302
2078,HadGEM2ES-rcp85,13668899.9080132,118555.520600417,2653399.97056389,30223.321821,5979.379875,3649883.88819978
2078,NoClimate,19538713.4250107,118547.962546823,8345087.69324673,2969.254061,59069.346553,3554911.04829521
2083,CCSM4-rcp45,17113920.0222395,118531.630185243,7013221.52884085,4176.770377,36876.63509,3737940.52245023
2083,CCSM4-rcp85,16676697.4358372,118533.816411935,5092105.06974906,9062.68192000001,19657.832433,3401523.58860639
2083,Ensemble-rcp45,18078275.431741,118546.905400376,7334529.28166139,3354.672831,41509.289264,3555539.65824493
2083,Ensemble-rcp85,16215079.2222001,118535.950425295,4878801.82211546,13021.451371,18554.325616,3537305.85468354
2083,GFDLCM3-rcp45,17372694.5294077,118547.219315018,6768905.27264541,4108.277001,35728.690644,3568848.66679819
2083,GFDLCM3-rcp85,15419359.4301528,118544.054267498,4150238.502611,14113.730468,14184.201467,3655249.42956638
2083,HadGEM2ES-rcp45,16757485.6810858,118561.22904719,6306993.25387359,7649.123595,31640.410696,3529131.34907947
2083,HadGEM2ES-rcp85,13206656.152021,118535.083180428,2222945.58874711,35097.88273,3923.512596,3602559.30133507
2083,NoClimate,19994789.9757298,118542.826270579,8595319.81622127,2423.578475,60942.920268,3466988.13796654
2088,CCSM4-rcp45,17402098.372687,118558.348175468,7148047.44936473,3977.863304,37182.920273,3540075.41451993
2088,CCSM4-rcp85,16351211.5631839,118598.064542993,4281179.62222241,17067.881281,14698.949915,3610535.95064172
2088,Ensemble-rcp45,18337583.7647031,118564.868973136,7440024.61920062,3716.345639,42022.4434239999,3531878.39935971
2088,Ensemble-rcp85,15940425.6562736,118578.922647713,4212270.21707421,17858.446224,13863.917736,3433919.92515928
2088,GFDLCM3-rcp45,17533564.1174424,118561.085690279,6819866.3196516,4697.150884,35288.904927,3536269.6386859
2088,GFDLCM3-rcp85,15095930.2176574,118554.426084375,3601024.89844162,17736.775581,9977.80342000001,3706356.57427771
2088,HadGEM2ES-rcp45,16848193.5504716,118543.288421094,6229581.87776553,8133.687666,29956.873518,3818750.61175952
2088,HadGEM2ES-rcp85,12701300.9364046,118554.402488045,1760188.64352128,40533.6285080001,2006.078433,3721170.49347823
2088,NoClimate,20425508.1394562,118530.834823918,8834629.02851451,2341.696649,62980.857162,3712321.32168735
2093,CCSM4-rcp45,17653273.8258007,118560.503411845,7227055.97950415,4513.940204,38124.796071,3111773.61425642
2093,CCSM4-rcp85,15879783.6169065,118546.144916508,3479469.56484268,23947.149134,10183.709337,3554911.30619647
2093,Ensemble-rcp45,18564529.1954875,118585.075200346,7526094.25711187,3730.588761,42496.8992799999,3507919.29798023
2093,Ensemble-rcp85,15540211.7520115,118560.662321647,3510906.80348104,23069.255752,9810.707258,3204947.81029899
2093,GFDLCM3-rcp45,17676270.3675216,118530.097279052,6863928.45417309,6155.444324,35232.131195,3592340.19006786
2093,GFDLCM3-rcp85,14666354.7904489,118584.066314514,3030876.35960909,22162.930533,7020.906117,3394185.25102524
2093,HadGEM2ES-rcp45,16892628.7241543,118557.37196717,6124898.1174024,9313.85013,29125.751926,3240876.43250599
2093,HadGEM2ES-rcp85,12127523.3519254,118538.368508057,1303292.68517707,44909.4834360001,1002.717571,3073290.3891614
2093,NoClimate,20830041.4002306,118547.95681672,9063066.134409,2237.197085,65132.779397,3605703.90695458
2098,CCSM4-rcp45,17880870.459593,118570.181198349,7327133.63939248,4217.534225,39037.790588,3830790.43593602
2098,CCSM4-rcp85,15367850.171195,118582.171567169,3072770.11654485,26681.962086,8178.665073,3607172.19885006
2098,Ensemble-rcp45,18769444.0240163,118536.829708953,7626220.86415451,3758.482604,43550.8316089999,3772803.01970933
2098,Ensemble-rcp85,15096114.84811,118533.585504799,3117379.27403697,25282.002973,8884.020146,3396984.63981846
2098,GFDLCM3-rcp45,17807309.8875319,118603.897203944,6931457.48472273,6660.675367,35618.9473009999,3513438.30595261
2098,GFDLCM3-rcp85,14205141.2386977,118539.138658027,2670593.51054411,24319.474781,5448.096812,3665948.19506962
2098,HadGEM2ES-rcp45,16919368.6279801,118562.409568239,6083247.15165971,10139.979144,29146.883238,3691052.4752437
2098,HadGEM2ES-rcp85,11642510.8458665,51683.156140341,1088072.74564986,46779.3751710001,378.575351,1523854.61606845
2098,NoClimate,21205277.0525075,118593.051067293,9281908.18118456,1663.066863,66908.290921,3831192.31449088
2103,CCSM4-rcp45,18093731.1788929,118563.698490672,7432807.51545658,4770.072555,39846.441553,3511844.50811299
2103,CCSM4-rcp85,14862129.0485159,118588.763448437,2808341.5590777,30821.0136739999,7682.034859,3278918.86824401
2103,Ensemble-rcp45,18954815.8486833,118557.95978955,7734350.23469591,3925.714724,44392.4211039999,3435435.67363482
2103,Ensemble-rcp85,14650226.8804513,118570.917613841,2853530.70299625,28298.947508,8235.41390699999,3283603.38357268
2103,GFDLCM3-rcp45,17930413.7246353,118631.107458907,7012257.63919233,7329.337584,36087.8999879999,3378062.95263955
2103,GFDLCM3-rcp85,13739312.5433206,118548.038891013,2404289.6396385,27112.985385,4753.839617,3628760.51086892
2103,HadGEM2ES-rcp45,16933679.6689166,118556.86935132,6075697.32594593,10862.494403,28677.048391,3586615.88471433
2103,HadGEM2ES-rcp85,11131225.5791966,95995.4783781951,907077.327629935,49944.007466,393.63674,2293967.53001413
2103,NoClimate,21551396.1205157,118577.600424143,9489238.30147142,1866.337759,68102.694817,3449855.12567183
2108,CCSM4-rcp45,18291488.3513919,118544.818651555,7542647.03991361,5478.239672,40374.838449,3578124.57726902
2108,CCSM4-rcp85,14381695.5080369,118543.860997236,2621446.589999,34550.1303509999,7170.780137,3528502.32321367
2108,Ensemble-rcp45,19131508.0750376,118529.682127613,7844137.95321341,4377.737501,44215.3340259999,3633961.30208461
2108,Ensemble-rcp85,14223792.719364,118569.114950697,2667510.32974032,30178.1399839999,8082.442804,3199054.07959276
2108,GFDLCM3-rcp45,18051303.7491286,118563.97331278,7101117.34872972,7657.540219,35990.7254429999,3624153.5334671
2108,GFDLCM3-rcp85,13284481.986463,118556.861090777,2196009.89734417,29024.58122,4163.188716,3290045.57210158
2108,HadGEM2ES-rcp45,16948000.4066943,118540.510009343,6090233.83647979,12072.792999,28510.812848,3464690.151588
2108,HadGEM2ES-rcp85,10712059.7624787,60164.736284982,806198.999443921,51095.2845630001,349.725024,1375031.87888078
2108,NoClimate,21876601.000129,119250.194666592,9685708.00477622,1393.569997,68707.4531999999,3472440.84473093
