start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
204695249.364827,22660407.560675,11175983.77045,4923600.563435,2028,NoClimate,16847.886544,"Coos Bay District"
146384071.854796,21623237.816175,9136161.46868999,4669428.698308,2028,NoClimate,15152.209702,"Eugene District"
9403368.859545,2388372.3917,134591.918725,388209.480626,2028,NoClimate,7516.759292,"Lakeview District"
274026412.050522,29666696.4317049,5758845.55686999,5306346.420484,2028,NoClimate,42540.8427829999,"Medford District"
197581163.979749,22295514.323165,7995755.42775999,2546812.370596,2028,NoClimate,20655.179195,"Roseburg District"
197739077.548673,27246889.53193,11636407.160035,5927382.606153,2028,NoClimate,19606.379064,"Salem District"
199632259.094985,19760568.99767,11032088.203355,3454108.832462,2033,Ensemble-rcp45,16847.886544,"Coos Bay District"
149029601.718585,19076867.72611,9221019.008585,6505869.855653,2033,Ensemble-rcp45,15152.209702,"Eugene District"
10084403.2748,2865456.1731,297228.121805,143006.110993,2033,Ensemble-rcp45,7516.759292,"Lakeview District"
271779881.516842,29635610.551905,9973087.57367501,2483820.168895,2033,Ensemble-rcp45,42540.8427829999,"Medford District"
197763717.956824,20257118.20303,9181574.6749,4103539.02855,2033,Ensemble-rcp45,20655.179195,"Roseburg District"
202775629.424795,25014201.919535,12604409.94313,6746256.328557,2033,Ensemble-rcp45,19606.379064,"Salem District"
200052152.605557,19623352.22466,11248026.87729,3064625.073412,2033,Ensemble-rcp85,16847.886544,"Coos Bay District"
147938161.723536,19122890.650285,9295295.377295,4277212.452748,2033,Ensemble-rcp85,15152.209702,"Eugene District"
9577132.829944,2874683.43708,314600.16884,77174.522872,2033,Ensemble-rcp85,7516.759292,"Lakeview District"
271949051.603633,28787838.87122,11489161.06974,3732830.119043,2033,Ensemble-rcp85,42540.8427829999,"Medford District"
195060627.390362,19742880.80983,9576095.37299999,3880173.805164,2033,Ensemble-rcp85,20655.179195,"Roseburg District"
199204136.853228,24071743.114075,12686787.89296,8484667.864171,2033,Ensemble-rcp85,19606.379064,"Salem District"
211256628.915122,22510255.34072,11721626.435125,4058121.392026,2033,NoClimate,16847.886544,"Coos Bay District"
154201431.416197,21128097.071365,9591202.64048999,5102111.475491,2033,NoClimate,15152.209702,"Eugene District"
11267641.187253,3081136.290025,202914.49654,117207.77095,2033,NoClimate,7516.759292,"Lakeview District"
292608601.117081,31934730.007115,6609168.69957499,3275763.339393,2033,NoClimate,42540.8427829999,"Medford District"
